Palau,20,30,50,ABOVE,Moderate
Papua New Guinea,20,35,45,ABOVE,Moderate-High
Solomon Islands,20,35,45,ABOVE,Moderate-High
Tonga,20,35,45,ABOVE,High
Fiji,15,45,40,AVG - ABOVE,Moderate
Cook Islands (Southern) ,30,40,30,NEAR NORMAL,Moderate
Niue,30,40,30,NEAR NORMAL,Moderate
Pitcairn Island,30,40,30,NEAR NORMAL,Moderate
Tokelau,30,40,30,NEAR NORMAL,Moderate-High
Wallis & Futuna,30,40,30,NEAR NORMAL,Moderate
American Samoa,30,40,30,NEAR NORMAL,Moderate
Austral Islands,35,45,20,NEAR NORMAL,Moderate-High
New Caledonia,35,45,20,NEAR NORMAL,High
Society Islands,35,45,20,NEAR NORMAL,Moderate-High
Tuamotu Islands,35,45,20,NEAR NORMAL,Moderate-High
Marquesas,35,40,25,AVG - BELOW,Moderate-High
Samoa,35,40,25,AVG - BELOW,Moderate
Tuvalu,35,40,25,AVG - BELOW,Moderate-High
Vanuatu (South),35,40,25,AVG - BELOW,Moderate
Central Kiribati (Phoenix),35,40,25,AVG - BELOW,Moderate
N. Marianas,35,40,25,AVG - BELOW,Moderate
Kiribati (Western),40,35,25,AVG - BELOW,Moderate
Vanuatu (North),40,35,25,AVG - BELOW,
Guam,40,35,25,AVG - BELOW,Moderate
Kiribati (Eastern),45,35,20,BELOW,Moderate-High
FSM,45,35,20,BELOW,Moderate-High
Nauru,45,35,20,BELOW,Moderate
Marshall Islands,50,30,20,BELOW,Moderate
Cook Islands (Northern) ,45,40,15,BELOW,Moderate-High
