Island,T1,T2,T3,CATEGORY,CONFIDENCE
Austral Islands,25,35,40,AVG - ABOVE,High
Cook Islands (Southern) ,25,35,40,AVG - ABOVE,Moderate
Solomon Islands,25,35,40,AVG - ABOVE,High
Palau,25,35,40,AVG - ABOVE,Moderate
Guam,25,35,40,AVG - ABOVE,Moderate
N. Marianas,25,35,40,AVG - ABOVE,Moderate
Niue,25,40,35,AVG - ABOVE,Moderate
Tonga,25,40,35,AVG - ABOVE,Moderate-High
FSM,25,40,35,AVG - ABOVE,Moderate-High
American Samoa,25,40,35,AVG - ABOVE,Moderate
Papua New Guinea,30,35,35,CLIMATOLOGY,Moderate
Cook Islands (Northern) ,30,40,30,NEAR NORMAL,High
Pitcairn Island,30,40,30,NEAR NORMAL,Moderate
Samoa,30,40,30,NEAR NORMAL,High
Society Islands,30,40,30,NEAR NORMAL,Moderate-High
Tokelau,30,40,30,NEAR NORMAL,High
Tuvalu,30,40,30,NEAR NORMAL,
Vanuatu (North),30,40,30,NEAR NORMAL,Moderate
Wallis & Futuna,30,40,30,NEAR NORMAL,Moderate-High
Nauru,35,35,30,CLIMATOLOGY,Moderate
Fiji,35,40,25,AVG - BELOW,Moderate-High
Kiribati (Eastern),35,40,25,AVG - BELOW,Moderate
Marquesas,35,40,25,AVG - BELOW,High
New Caledonia,35,40,25,AVG - BELOW,Moderate
Tuamotu Islands,35,40,25,AVG - BELOW,Moderate-High
Kiribati (Western),40,35,25,AVG - BELOW,Moderate-High
Vanuatu (South),40,35,25,AVG - BELOW,High
Central Kiribati (Phoenix),40,35,25,AVG - BELOW,Moderate
Marshall Islands,40,35,25,AVG - BELOW,Moderate
